latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.71545,79.70197,331.78,0.45,0.63,2025-05-01,712,N20,VIIRS,n,2,295.7,2.68,D,0
15.71655,79.69929,333.8,0.45,0.63,2025-05-01,712,N20,VIIRS,n,2,295.05,4.29,D,0
15.71741,79.70342,338.05,0.45,0.63,2025-05-01,712,N20,VIIRS,n,2,296.27,6.3,D,0
15.72114,79.70072,345.19,0.45,0.63,2025-05-01,712,N20,VIIRS,n,2,296.24,5.1,D,0
15.81793,79.20904,331.06,0.48,0.65,2025-05-01,712,N20,VIIRS,n,2,294.56,3.79,D,0
15.82708,80.25726,330.48,0.41,0.61,2025-05-01,712,N20,VIIRS,n,2,300.14,0.84,D,0
15.84551,80.43459,334.06,0.4,0.6,2025-05-01,712,N20,VIIRS,n,2,299.5,2.03,D,0
15.866,77.84242,334.85,0.59,0.7,2025-05-01,712,N20,VIIRS,n,2,297.86,4.07,D,0
15.87113,77.84351,331.75,0.6,0.7,2025-05-01,712,N20,VIIRS,n,2,297.6,6.32,D,0
15.8735,77.84628,331.06,0.59,0.7,2025-05-01,712,N20,VIIRS,n,2,297.16,4.07,D,0
15.90828,80.1532,346.06,0.42,0.61,2025-05-01,712,N20,VIIRS,n,2,298.16,7.24,D,0
15.90915,80.15291,338.85,0.42,0.61,2025-05-01,712,N20,VIIRS,n,2,297.67,3.71,D,0
15.90992,80.15672,332.48,0.42,0.61,2025-05-01,712,N20,VIIRS,n,2,298.15,4.04,D,0
15.91694,80.16713,331.28,0.42,0.61,2025-05-01,712,N20,VIIRS,n,2,298.17,2.26,D,0
15.95333,80.06382,352.81,0.42,0.61,2025-05-01,712,N20,VIIRS,n,2,297.09,16.12,D,0
15.95412,80.06765,367.0,0.42,0.61,2025-05-01,712,N20,VIIRS,h,2,297.48,21.31,D,0
15.96451,79.97636,333.95,0.43,0.62,2025-05-01,712,N20,VIIRS,n,2,295.75,6.36,D,0
16.01818,80.18545,334.08,0.41,0.61,2025-05-01,712,N20,VIIRS,n,2,298.29,1.44,D,0
16.01892,80.18843,332.15,0.41,0.61,2025-05-01,712,N20,VIIRS,n,2,298.21,1.81,D,0
16.03132,79.68391,330.35,0.45,0.63,2025-05-01,712,N20,VIIRS,n,2,295.52,2.09,D,0
16.03764,80.53354,331.29,0.39,0.59,2025-05-01,712,N20,VIIRS,n,2,296.58,4.23,D,0
16.04951,78.98761,333.17,0.5,0.66,2025-05-01,712,N20,VIIRS,n,2,289.17,2.75,D,0
16.07553,80.85677,337.13,0.37,0.58,2025-05-01,712,N20,VIIRS,n,2,298.86,2.49,D,0
16.15372,80.73272,333.74,0.38,0.59,2025-05-01,712,N20,VIIRS,n,2,300.3,3.95,D,0
16.16412,80.80573,342.49,0.37,0.58,2025-05-01,712,N20,VIIRS,n,2,298.43,3.46,D,0
16.16844,80.80487,342.0,0.37,0.58,2025-05-01,712,N20,VIIRS,n,2,296.74,2.73,D,0
16.18396,80.77297,367.0,0.37,0.58,2025-05-01,712,N20,VIIRS,h,2,300.29,9.71,D,0
16.18853,78.98708,336.9,0.49,0.65,2025-05-01,712,N20,VIIRS,n,2,291.6,3.51,D,0
16.19953,80.74094,332.22,0.38,0.58,2025-05-01,712,N20,VIIRS,n,2,300.01,4.7,D,0
16.20161,80.75128,367.0,0.38,0.58,2025-05-01,712,N20,VIIRS,h,2,301.8,7.88,D,0
16.2023,80.75472,332.09,0.38,0.58,2025-05-01,712,N20,VIIRS,n,2,300.44,7.88,D,0
16.21023,79.81297,334.86,0.43,0.62,2025-05-01,712,N20,VIIRS,n,2,295.39,4.04,D,0
16.21263,80.72372,330.91,0.38,0.59,2025-05-01,712,N20,VIIRS,n,2,299.51,3.47,D,0
16.2147,80.73409,367.0,0.38,0.58,2025-05-01,712,N20,VIIRS,h,2,299.78,7.14,D,0
16.21539,80.73753,353.62,0.38,0.58,2025-05-01,712,N20,VIIRS,n,2,298.31,7.14,D,0
16.21791,80.72259,338.05,0.38,0.59,2025-05-01,712,N20,VIIRS,n,2,300.45,4.39,D,0
16.21861,80.72604,343.32,0.38,0.59,2025-05-01,712,N20,VIIRS,n,2,301.53,11.1,D,0
16.21998,80.73295,335.59,0.38,0.58,2025-05-01,712,N20,VIIRS,n,2,298.99,3.75,D,0
16.22321,80.72145,338.2,0.38,0.59,2025-05-01,712,N20,VIIRS,n,2,298.98,4.39,D,0
16.23379,80.71918,342.33,0.38,0.59,2025-05-01,712,N20,VIIRS,n,2,298.83,3.51,D,0
16.23702,79.97028,331.87,0.42,0.61,2025-05-01,712,N20,VIIRS,n,2,294.13,3.28,D,0
16.26637,79.94398,335.61,0.42,0.61,2025-05-01,712,N20,VIIRS,n,2,294.86,5.27,D,0
16.26716,79.94784,343.76,0.42,0.61,2025-05-01,712,N20,VIIRS,n,2,295.41,5.27,D,0
16.27637,80.72025,355.03,0.38,0.58,2025-05-01,712,N20,VIIRS,n,2,301.51,19.9,D,0
16.29241,79.91013,345.94,0.43,0.62,2025-05-01,712,N20,VIIRS,n,2,293.69,4.24,D,0
16.29415,79.90952,344.69,0.43,0.62,2025-05-01,712,N20,VIIRS,n,2,293.93,4.48,D,0
16.36067,80.154,331.63,0.41,0.61,2025-05-01,712,N20,VIIRS,n,2,293.99,4.9,D,0
16.37573,80.00471,332.77,0.42,0.61,2025-05-01,712,N20,VIIRS,n,2,294.16,7.47,D,0
16.38814,80.09303,333.6,0.41,0.61,2025-05-01,712,N20,VIIRS,n,2,292.42,5.19,D,0
16.54999,80.69844,330.77,0.37,0.58,2025-05-01,712,N20,VIIRS,n,2,297.58,5.67,D,0
16.55067,80.70187,330.83,0.37,0.58,2025-05-01,712,N20,VIIRS,n,2,297.8,4.97,D,0
16.56093,80.88958,338.91,0.36,0.58,2025-05-01,712,N20,VIIRS,n,2,298.24,2.86,D,0
16.6001,79.31265,333.67,0.46,0.64,2025-05-01,712,N20,VIIRS,n,2,291.78,8.01,D,0
16.6003,79.31128,334.86,0.46,0.64,2025-05-01,712,N20,VIIRS,n,2,289.98,8.74,D,0
16.62054,79.58327,331.84,0.44,0.62,2025-05-01,712,N20,VIIRS,n,2,294.83,5.64,D,0
16.62531,79.57784,334.41,0.44,0.62,2025-05-01,712,N20,VIIRS,n,2,294.62,5.82,D,0
16.63386,79.6474,334.53,0.44,0.62,2025-05-01,712,N20,VIIRS,n,2,292.15,4.0,D,0
16.80611,79.34566,330.04,0.45,0.63,2025-05-01,712,N20,VIIRS,n,2,292.06,3.66,D,0
16.83788,80.64358,337.92,0.37,0.58,2025-05-01,712,N20,VIIRS,n,2,297.62,2.21,D,0
16.84314,80.64246,338.84,0.37,0.58,2025-05-01,712,N20,VIIRS,n,2,298.06,4.48,D,0
17.0916,80.08711,339.06,0.4,0.6,2025-05-01,712,N20,VIIRS,n,2,292.71,4.19,D,0
17.09552,80.08555,352.06,0.4,0.6,2025-05-01,712,N20,VIIRS,n,2,293.59,8.66,D,0
17.09702,80.08595,339.65,0.4,0.6,2025-05-01,712,N20,VIIRS,n,2,293.1,4.23,D,0
17.11345,80.14632,367.0,0.4,0.6,2025-05-01,712,N20,VIIRS,h,2,295.28,7.72,D,0
