latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
16.46638,79.54277,331.29,0.42,0.38,2021-10-17,804,N20,VIIRS,n,2,290.81,3.33,D,0
16.46687,79.54221,328.3,0.42,0.38,2021-10-17,804,N20,VIIRS,n,2,290.79,4.02,D,0
18.72196,79.50916,312.6,0.53,0.42,2021-10-17,2035,N20,VIIRS,n,2,291.1,2.12,N,0
17.14211,77.18272,306.62,0.43,0.38,2021-10-17,2036,N20,VIIRS,n,2,291.96,0.84,N,2
17.14732,78.22372,302.29,0.48,0.4,2021-10-17,2036,N20,VIIRS,n,2,284.01,0.73,N,2
16.16052,77.95008,332.33,0.52,0.41,2021-10-18,745,N20,VIIRS,n,2,293.15,5.06,D,0
16.92444,79.36369,336.72,0.43,0.38,2021-10-18,745,N20,VIIRS,n,2,298.16,3.53,D,0
17.46674,78.89433,335.54,0.45,0.39,2021-10-18,746,N20,VIIRS,n,2,298.47,5.66,D,0
17.78835,79.20952,332.76,0.43,0.38,2021-10-18,746,N20,VIIRS,n,2,297.66,5.88,D,0
18.97684,79.42625,349.67,0.41,0.37,2021-10-18,746,N20,VIIRS,n,2,295.85,7.23,D,0
18.721,79.50763,309.85,0.38,0.36,2021-10-18,2016,N20,VIIRS,n,2,277.66,1.46,N,0
19.88462,77.57369,305.2,0.43,0.38,2021-10-18,2016,N20,VIIRS,n,2,288.4,0.69,N,0
16.69652,79.6489,307.75,0.38,0.36,2021-10-18,2017,N20,VIIRS,n,2,293.22,1.29,N,2
16.71702,79.81793,299.89,0.39,0.36,2021-10-18,2017,N20,VIIRS,n,2,284.46,1.46,N,2
17.14028,77.18311,306.46,0.42,0.38,2021-10-18,2017,N20,VIIRS,n,2,290.25,0.7,N,0
17.58332,80.31363,303.79,0.39,0.36,2021-10-18,2017,N20,VIIRS,n,2,287.62,0.63,N,2
15.60155,78.26216,347.93,0.34,0.56,2021-10-19,726,N20,VIIRS,n,2,291.79,3.36,D,0
15.84495,78.31519,333.92,0.33,0.55,2021-10-19,726,N20,VIIRS,n,2,291.99,3.15,D,0
15.86563,77.21941,335.14,0.39,0.59,2021-10-19,726,N20,VIIRS,n,2,285.89,2.97,D,0
15.89873,78.22162,337.5,0.33,0.56,2021-10-19,726,N20,VIIRS,n,2,292.2,3.54,D,0
15.91227,78.31684,332.43,0.33,0.55,2021-10-19,726,N20,VIIRS,n,2,294.38,2.62,D,0
19.92142,79.11127,307.57,0.42,0.45,2021-10-19,1957,N20,VIIRS,n,2,289.52,0.89,N,2
19.92359,79.1123,304.05,0.42,0.45,2021-10-19,1957,N20,VIIRS,n,2,288.56,0.69,N,2
19.96129,79.33364,305.12,0.41,0.45,2021-10-19,1957,N20,VIIRS,n,2,291.59,1.31,N,2
19.96539,79.33423,318.15,0.41,0.45,2021-10-19,1957,N20,VIIRS,n,2,292.54,1.31,N,2
17.1351,78.26672,296.51,0.44,0.46,2021-10-19,1958,N20,VIIRS,n,2,276.84,0.37,N,0
17.14492,78.22223,297.93,0.44,0.46,2021-10-19,1958,N20,VIIRS,n,2,275.9,0.59,N,2
17.94981,80.75897,305.49,0.48,0.4,2021-10-19,1958,N20,VIIRS,n,2,291.18,1.03,N,0
16.74604,77.4702,333.18,0.49,0.65,2021-10-20,848,N20,VIIRS,n,2,293.56,5.01,D,0
19.92231,79.111,310.41,0.43,0.62,2021-10-20,1938,N20,VIIRS,n,2,292.6,1.16,N,2
19.92505,79.11066,308.14,0.43,0.62,2021-10-20,1938,N20,VIIRS,n,2,291.76,0.9,N,0
19.96627,79.33165,312.79,0.41,0.61,2021-10-20,1938,N20,VIIRS,n,2,290.99,1.11,N,2
17.14739,78.22234,302.3,0.45,0.63,2021-10-20,1939,N20,VIIRS,n,2,281.12,0.74,N,2
17.14751,78.22003,303.16,0.45,0.63,2021-10-20,1939,N20,VIIRS,n,2,279.93,0.56,N,2
17.24308,81.1094,302.95,0.58,0.52,2021-10-20,1939,N20,VIIRS,n,2,288.61,0.86,N,0
17.24389,81.10845,302.9,0.58,0.52,2021-10-20,1939,N20,VIIRS,n,2,288.68,0.94,N,0
17.9528,80.76141,307.36,0.63,0.54,2021-10-20,1939,N20,VIIRS,n,2,291.36,2.25,N,0
19.92192,79.11065,301.18,0.79,0.78,2021-10-20,2119,N20,VIIRS,n,2,289.94,1.23,N,2
19.92585,79.11104,299.97,0.79,0.78,2021-10-20,2119,N20,VIIRS,n,2,289.62,0.83,N,0
15.78793,78.41284,336.23,0.53,0.5,2021-10-21,829,N20,VIIRS,n,2,295.5,4.77,D,0
17.08382,79.32699,336.11,0.32,0.54,2021-10-21,829,N20,VIIRS,n,2,292.21,4.06,D,0
17.76548,79.48008,336.27,0.33,0.55,2021-10-21,830,N20,VIIRS,n,2,295.4,4.16,D,0
18.55121,77.91634,330.82,0.54,0.51,2021-10-21,830,N20,VIIRS,n,2,301.33,2.45,D,0
18.55586,77.91576,341.04,0.54,0.51,2021-10-21,830,N20,VIIRS,n,2,301.63,5.67,D,0
17.95456,80.76048,300.82,0.65,0.73,2021-10-21,1920,N20,VIIRS,n,2,277.49,0.95,N,0
17.14682,78.22333,309.06,0.39,0.59,2021-10-21,2101,N20,VIIRS,n,2,287.07,0.83,N,2
17.14895,78.22366,307.26,0.39,0.59,2021-10-21,2101,N20,VIIRS,n,2,287.13,0.87,N,2
